id;generation;life;strength;speed;cDamage
3169;205;120;1000;880;1000
2952;206;129;1000;871;1000
2969;207;120;1000;880;1000
883;208;111;1000;889;1000
3062;209;117;1000;883;1000
2813;210;108;1000;892;1000
2497;211;116;1000;884;1000
953;212;125;1000;875;1000
3887;213;116;1000;884;1000
1159;214;125;1000;875;996
352;215;116;1000;884;1000
2120;216;125;1000;875;1000
3484;217;116;1000;884;1000
4017;218;124;1000;876;1000
209;219;115;1000;885;1000
50;220;106;1000;894;1000
2709;221;115;1000;885;1000
2660;222;124;1000;876;1000
564;223;115;1000;885;1000
3903;224;124;1000;876;1000
1606;225;115;1000;885;1000
2651;226;106;1000;894;1000
1686;227;115;1000;885;1000
1564;228;106;1000;894;1000
1952;229;112;1000;888;1000
991;230;119;1000;881;1000
2454;231;128;999;872;1000
393;232;119;1000;881;1000
2092;233;127;1000;873;1000
1179;234;118;1000;882;1000
3696;235;109;1000;891;1000
3750;236;117;1000;883;1000
2945;237;108;1000;892;1000
2738;238;115;1000;885;1000
3671;239;124;1000;876;1000
1365;240;115;1000;885;1000
389;241;124;1000;876;994
983;242;115;1000;885;1000
2712;243;124;1000;876;999
2775;244;115;1000;885;1000
3511;245;124;1000;876;1000
1279;246;133;1000;867;1000
4044;247;124;1000;876;1000
2195;248;115;1000;885;1000
1771;249;124;1000;876;1000
1184;250;133;1000;867;997
2514;251;124;1000;876;1000
2897;252;115;1000;885;1000
2199;253;122;1000;878;1000
3969;254;113;1000;887;1000
460;255;104;1000;896;1000
2736;256;113;1000;887;1000
171;257;104;1000;896;1000
1889;258;113;1000;887;1000
2600;259;120;1000;880;996
880;260;129;1000;871;999
603;261;120;1000;880;1000
1765;262;111;1000;889;1000
74;263;119;1000;881;1000
3033;264;128;997;872;1000
1279;265;119;1000;881;1000
1094;266;110;1000;890;1000
108;267;118;1000;882;996
275;268;109;1000;891;1000
1391;269;118;1000;882;992
3711;270;109;1000;891;1000
305;271;117;1000;883;1000
2073;272;125;1000;875;1000
2443;273;116;1000;884;1000
1126;274;124;1000;876;1000
1870;275;115;1000;885;1000
323;276;106;1000;894;1000
771;277;113;1000;887;997
1908;278;122;995;878;994
17;279;113;1000;887;1000
2099;280;121;1000;879;1000
3699;281;112;1000;888;1000
2938;282;121;1000;879;997
257;283;112;1000;888;1000
3395;284;121;1000;879;1000
2289;285;112;1000;888;1000
1986;286;121;1000;879;1000
2158;287;112;1000;888;1000
2531;288;121;1000;879;992
868;289;112;1000;888;1000
3975;290;121;1000;879;998
257;291;112;1000;888;1000
2979;292;121;1000;879;995
652;293;112;1000;888;1000
2485;294;120;1000;880;1000
1267;295;111;1000;889;1000
1159;296;120;997;880;998
3774;297;111;1000;889;1000
3839;298;120;1000;880;1000
2188;299;111;1000;889;1000
3429;300;120;1000;880;994
784;301;129;1000;871;997
3703;302;120;1000;880;1000
767;303;111;1000;889;1000
293;304;120;1000;880;999
234;305;111;1000;889;1000
2433;306;120;1000;880;1000
3379;307;111;1000;889;1000
3206;308;102;1000;898;1000
3073;309;111;1000;889;1000
1936;310;116;1000;884;1000
3199;311;125;1000;875;1000
817;312;116;1000;884;1000
285;313;124;1000;876;1000
2109;314;115;1000;885;1000
3779;315;124;996;876;1000
937;316;115;1000;885;1000
962;317;124;999;876;1000
11;318;115;1000;885;1000
543;319;124;1000;876;1000
4068;320;115;1000;885;1000
1029;321;124;1000;876;997
2410;322;115;1000;885;1000
1905;323;124;1000;876;1000
3173;324;115;1000;885;1000
395;325;123;1000;877;995
2989;326;114;1000;886;1000
1628;327;105;1000;895;1000
2560;328;111;1000;889;1000
1376;329;120;999;880;1000
2673;330;111;1000;889;1000
912;331;119;1000;881;993
3617;332;128;1000;872;992
2901;333;119;1000;881;1000
1288;334;110;1000;890;1000
3403;335;119;1000;881;1000
2593;336;110;1000;890;1000
1381;337;117;1000;883;1000
918;338;126;1000;874;1000
3056;339;117;1000;883;1000
1608;340;126;1000;874;1000
2826;341;117;1000;883;1000
3044;342;108;1000;892;1000
2314;343;115;1000;885;1000
1358;344;123;1000;877;1000
2653;345;114;1000;886;1000
3320;346;105;1000;895;1000
3714;347;112;1000;888;1000
3297;348;118;1000;882;1000
3220;349;109;1000;891;1000
3815;350;117;1000;883;996
3406;351;126;1000;874;1000
1671;352;117;1000;883;1000
1778;353;108;1000;892;1000
2877;354;114;1000;886;1000
2423;355;121;1000;879;1000
3135;356;112;1000;888;1000
264;357;121;1000;879;996
1767;358;130;1000;870;995
1504;359;121;1000;879;1000
3852;360;112;1000;888;1000
2682;361;121;1000;879;1000
744;362;112;1000;888;1000
